"id","franchise_id","franchise_name","season","season_num","season_year","premiere_date","finale_date","link_wiki","link_fandom"
"F10S01","F10","RuPaul's Drag Race","Season 1",1,2009,2009-02-02,2009-03-23,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_1)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_1)"
"F10S02","F10","RuPaul's Drag Race","Season 2",2,2010,2010-02-01,2010-04-26,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_2)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_2)"
"F10S03","F10","RuPaul's Drag Race","Season 3",3,2011,2011-01-24,2011-05-02,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_3)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_3)"
"F10S04","F10","RuPaul's Drag Race","Season 4",4,2012,2012-01-30,2012-04-30,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_4)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_4)"
"F10S05","F10","RuPaul's Drag Race","Season 5",5,2013,2013-01-28,2013-05-06,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_5)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_5)"
"F10S06","F10","RuPaul's Drag Race","Season 6",6,2014,2014-02-24,2014-05-19,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_6)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_6)"
"F10S07","F10","RuPaul's Drag Race","Season 7",7,2015,2015-03-02,2015-06-01,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_7)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_7)"
"F10S08","F10","RuPaul's Drag Race","Season 8",8,2016,2016-03-07,2016-05-16,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_8)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_8)"
"F10S09","F10","RuPaul's Drag Race","Season 9",9,2017,2017-03-24,2017-06-23,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_9)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_9)"
"F10S10","F10","RuPaul's Drag Race","Season 10",10,2018,2018-03-22,2018-06-28,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_10)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_10)"
"F10S11","F10","RuPaul's Drag Race","Season 11",11,2019,2019-02-28,2019-05-30,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_11)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_11)"
"F10S12","F10","RuPaul's Drag Race","Season 12",12,2020,2020-02-28,2020-05-29,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_12)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_12)"
"F10S13","F10","RuPaul's Drag Race","Season 13",13,2021,2021-01-01,2021-04-23,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_13)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_13)"
"F10S14","F10","RuPaul's Drag Race","Season 14",14,2022,2022-01-07,2022-04-22,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_14)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_14)"
"F11S01","F11","RuPaul's Drag Race All Stars","Season 1",1,2012,2012-10-22,2012-11-26,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_1)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_All_Stars_(Season_1)"
"F11S02","F11","RuPaul's Drag Race All Stars","Season 2",2,2016,2016-08-25,2016-10-27,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_2)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_All_Stars_(Season_2)"
"F11S03","F11","RuPaul's Drag Race All Stars","Season 3",3,2018,2018-01-25,2018-03-15,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_All_Stars_(Season_3)"
"F11S04","F11","RuPaul's Drag Race All Stars","Season 4",4,2019,2018-12-14,2019-02-15,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_4)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_All_Stars_(Season_4)"
"F11S05","F11","RuPaul's Drag Race All Stars","Season 5",5,2020,2020-06-05,2020-07-24,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_5)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_All_Stars_(Season_5)"
"F11S06","F11","RuPaul's Drag Race All Stars","Season 6",6,2021,2021-06-24,2021-09-02,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_6)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_All_Stars_(Season_6)"
"F11S07","F11","RuPaul's Drag Race All Stars","Season 7",7,2022,2022-05-20,NA,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_7)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_All_Stars_(Season_7)"
"F12S01","F12","Drag Race Thailand","Season 1",1,2018,2018-02-15,2018-04-05,"https://en.wikipedia.org/wiki/Drag_Race_Thailand_(season_1)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Thailand_(Season_1)"
"F12S02","F12","Drag Race Thailand","Season 2",2,2019,2019-01-11,2019-04-05,"https://en.wikipedia.org/wiki/Drag_Race_Thailand_(season_2)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Thailand_(Season_2)"
"F12S03","F12","Drag Race Thailand","Season 3",3,2022,NA,NA,"https://en.wikipedia.org/wiki/Drag_Race_Thailand_(season_3)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Thailand_(Season_3)"
"F13S01","F13","RuPaul's Drag Race UK","Series 1",1,2019,2019-10-03,2019-11-29,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_UK_(series_1)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_UK_(Season_1)"
"F13S02","F13","RuPaul's Drag Race UK","Series 2",2,2021,2021-01-14,2021-03-18,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_UK_(series_2)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_UK_(Season_2)"
"F13S03","F13","RuPaul's Drag Race UK","Series 3",3,2021,2021-09-23,2021-11-25,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_UK_(series_3)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_UK_(Season_3)"
"F13S04","F13","RuPaul's Drag Race UK","Series 4",4,2022,NA,NA,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_UK_(series_4)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_UK_(Season_4)"
"F14S01","F14","Canada's Drag Race","Season 1",1,2020,2020-07-02,2020-09-03,"https://en.wikipedia.org/wiki/Canada%27s_Drag_Race_(season_1)","https://rupaulsdragrace.fandom.com/wiki/Canada%27s_Drag_Race_(Season_1)"
"F15S01","F15","Drag Race Holland","Season 1",1,2020,2020-09-18,2020-11-06,"https://en.wikipedia.org/wiki/Drag_Race_Holland_(season_1)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Holland_(Season_1)"
"F16S01","F16","RuPaul's Drag Race Down Under","Season 1",1,2021,2021-05-01,2021-06-19,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_Down_Under_(season_1)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_Down_Under_(Season_1)"
"F17S01","F17","Drag Race España","Season 1",1,2021,2021-05-30,2021-08-01,"https://en.wikipedia.org/wiki/Drag_Race_Espa%C3%B1a_(season_1)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Espa%C3%B1a_(Season_1)"
"F17S02","F17","Drag Race España","Season 2",2,2022,2022-03-27,2022-06-12,"https://en.wikipedia.org/wiki/Drag_Race_Espa%C3%B1a_(season_2)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Espa%C3%B1a_(Season_2)"
"F17S03","F17","Drag Race España","Season 3",3,2023,NA,NA,"https://en.wikipedia.org/wiki/Drag_Race_Espa%C3%B1a_(season_3)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Espa%C3%B1a_(Season_3)"
"F18S01","F18","Drag Race Italia","Season 1",1,2021,2021-11-19,2021-12-23,"https://en.wikipedia.org/wiki/Drag_Race_Italia_(season_1)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Italia_(Season_1)"
"F19S01","F19","RuPaul's Drag Race: UK vs the World","Series 1",1,2022,NA,NA,"https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race:_UK_vs_the_World_(series_1)","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race:_UK_vs_the_World_(Season_1)"
"F20S01","F20","Drag Race France","Season 1",1,2022,2022-06-25,NA,"https://en.wikipedia.org/wiki/Drag_Race_France_(season_1)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_France_(Season_1)"
"F21S01","F21","Drag Race Philippines","Season 1",1,2022,2022-08-17,NA,"https://en.wikipedia.org/wiki/Drag_Race_Philippines_(season_1)","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Philippines_(Season_1)"
